(newlook appli)=0.6666666666666666
(fvaz guess)=1.0
(shootguess just)=1.0
(need life)=0.03773584905660377
(thug need)=0.6666666666666666
(im drink)=0.01098901098901099
(kingsway vrac)=0.6666666666666666
(job inspector)=0.03076923076923077
(sabich slice)=1.0
(mkonlin craftingthefutureoffood)=0.6666666666666666
(piper perabo)=0.6666666666666666
(levi bibbi)=0.014814814814814815
(support plan)=0.18181818181818182
(book pack)=0.1111111111111111
(vs guy)=0.2222222222222222
(end choos)=0.021505376344086023
(selfi asian)=0.2857142857142857
(crisp cocktail)=0.5
(hair untangl)=0.11764705882352941
(pair fit)=0.4
(tri caus)=0.02857142857142857
(pass smog)=0.15384615384615385
(whip soon)=0.4
(sit fan)=0.10526315789473684
(biggest problem)=0.5
(fear monger)=0.4
(eye come)=0.2857142857142857
(wake tweet)=0.16666666666666666
(nak mango)=0.4
(spainpleasex oy)=1.0
(situat sooo)=0.6666666666666666
(tayloralexi im)=1.0
(ass burger)=0.03225806451612903
(fever here)=0.4
(video guess)=0.06451612903225806
(sorbet top)=0.2857142857142857
(see age)=0.05263157894736842
(im mango)=0.015748031496062992
(strawberri storm)=0.18181818181818182
(yall sleep)=0.2857142857142857
(slice roast)=0.4
(guess stand)=0.0033444816053511705
(just sad)=0.012658227848101266
(cake oreo)=0.1
(st john)=0.0035087719298245615
(smoothi matcha)=0.07407407407407407
(just say)=0.014184397163120567
(didnt includ)=0.07692307692307693
(ask mango)=0.125
(ashleypaitich think)=1.0
(just saw)=0.011363636363636364
(pop dairyfre)=0.13333333333333333
(like discov)=0.023529411764705882
(north london)=0.6666666666666666
(zone levi)=0.6666666666666666
(st pitch)=0.0030721966205837174
(maci ofdim)=0.5
(levillaonth peach)=1.0
(just rage)=0.014285714285714285
(reason cheer)=0.2857142857142857
(heyviolet renalov)=0.4
(work mito)=0.031746031746031744
(foodporn madebym)=0.5
(ep read)=0.028985507246376812
(guess rememb)=0.0044444444444444444
(bodi transform)=0.4
(femal friend)=0.6666666666666666
(magicalmj dslmj)=1.0
(pragu game)=0.6666666666666666
(watch got)=0.07692307692307693
(shes sneaki)=0.3333333333333333
(mahoneschanel xxxevelynnxxx)=1.0
(weiss infus)=0.6666666666666666
(job open)=0.06349206349206349
(tire spam)=0.2857142857142857
(make mango)=0.05128205128205128
(wireless internet)=0.6666666666666666
(ridicul los)=0.6666666666666666
(phrase day)=1.0
(just bought)=0.02040816326530612
(plongeurplongeus servic)=0.6666666666666666
(d yes)=7.895775759968417E-4
(p guess)=0.0024549918166939444
(mental capac)=0.6666666666666666
(er camionneurcamionneus)=0.002320185614849188
(nxgga forev)=0.5
(gjohnston hid)=0.6666666666666666
(intertek group)=0.6666666666666666
(guess america)=0.00338409475465313
(nawaz send)=0.6666666666666666
(lemon lime)=0.13333333333333333
(vijaygoelbjp hello)=0.6666666666666666
(guess your)=0.005309734513274336
(chanc playoff)=0.2222222222222222
(damn u)=0.3333333333333333
(best buy)=0.14285714285714285
(store suppos)=0.2857142857142857
(screen imaginari)=0.25
(louissimslife dagger)=1.0
(miss man)=0.058823529411764705
(soooo guess)=0.5
(wing chines)=0.11764705882352941
(vendor asshat)=0.6666666666666666
(lipstick think)=1.0
(nail compliment)=0.3333333333333333
(lootcrat month)=0.5
(cuisin veganricha)=0.4
(secion turn)=0.6666666666666666
(flapjack banana)=0.6666666666666666
(wear robandrich)=0.2222222222222222
(hello u)=0.18181818181818182
(d mtvhottest)=7.587253414264037E-4
(coupl week)=0.6666666666666666
(green tea)=0.25
(spear tshirt)=0.5
(guess carnc)=0.003616636528028933
(chapstick alo)=0.6666666666666666
(santo kit)=1.0
(finn guess)=0.6666666666666666
(differ area)=0.4
(teeth half)=0.5
(money cloth)=0.4
(highsnobieti levi)=1.0
(mango ice)=0.009345794392523364
(that number)=0.017241379310344827
(im gonna)=0.011834319526627219
(summer heat)=0.09090909090909091
(realli inni)=0.07142857142857142
(levi listen)=0.01834862385321101
(model guess)=0.2
(forev happybirthday)=0.07407407407407407
(mango idk)=0.005141388174807198
(die import)=0.09523809523809523
(modi peac)=0.6666666666666666
(stevemadden bag)=0.6666666666666666
(haze way)=0.6666666666666666
(oop ship)=0.2857142857142857
(wander hes)=0.6666666666666666
(k rts)=0.001784121320249777
(peopl instagram)=0.05555555555555555
(ukulel natur)=0.6666666666666666
(today worst)=0.09090909090909091
(ais tho)=0.2
(make great)=0.04
(untangl lost)=0.6666666666666666
(work friend)=0.029850746268656716
(spici salsa)=0.2222222222222222
(rep armi)=0.14285714285714285
(peach strawberri)=0.16666666666666666
(abcfpll love)=0.6666666666666666
(day guess)=0.02608695652173913
(protocol good)=0.5
(selfi flashback)=0.2857142857142857
(oil spinach)=0.36363636363636365
(love cute)=0.03225806451612903
(way come)=0.0425531914893617
(cliniqu stamour)=1.0
(london hackney)=0.2857142857142857
(fab mackenziefoy)=0.3333333333333333
(think gonna)=0.11764705882352941
(playstat long)=0.6666666666666666
(guess havent)=0.0041841004184100415
(daisi guess)=0.6666666666666666
(beach weekend)=0.25
(sorri stream)=1.0
(soap bar)=0.6666666666666666
(what better)=0.058823529411764705
(jackandjackr guy)=1.0
(realli luv)=0.6666666666666666
(flaxse banana)=0.6666666666666666
(way wish)=0.04878048780487805
(hajojoxx iamminniee)=0.5
(tomorrow wsu)=0.10526315789473684
(jaqmcril help)=1.0
(know ur)=0.05263157894736842
(reason head)=0.18181818181818182
(stanki bake)=0.6666666666666666
(ubersupport banner)=1.0
(les imag)=0.05555555555555555
(manahawkin nj)=0.6666666666666666
(mango dole)=0.0070921985815602835
(wilsonbarberco hey)=1.0
(good levi)=0.02531645569620253
(liar hes)=0.6666666666666666
(levi friend)=0.02702702702702703
(hi almondbreezesa)=0.005333333333333333
(start contest)=0.08
(believ sam)=0.3333333333333333
(smite didnt)=0.6666666666666666
(fruit eat)=0.05714285714285714
(budlight bottl)=0.6666666666666666
(water oil)=0.25
(mean true)=0.11764705882352941
(left sick)=0.4
(informatiqu need)=0.6666666666666666
(definit sad)=0.6666666666666666
(barca vs)=0.5
(papertimeladi akilahobvi)=1.0
(tri cut)=0.0392156862745098
(dat fuckin)=0.13333333333333333
(xchloelloyd guess)=1.0
(tri duvet)=0.029411764705882353
(kind peopl)=0.15384615384615385
(professorowen goe)=1.0
(levi docker)=0.03636363636363636
(guess say)=0.0032258064516129032
(dude viewsfrmth)=0.18181818181818182
(meant say)=0.4
(use social)=0.05128205128205128
(friend offend)=0.058823529411764705
(im lucki)=0.005934718100890208
(oh noooo)=0.05263157894736842
(ice custom)=0.025
(guess end)=0.0035650623885918
(sing hotdog)=0.15384615384615385
(soho freepeopl)=0.6666666666666666
(guess modelcrush)=0.0030441400304414
(guess readerboard)=0.0030075187969924814
(anymor got)=0.2222222222222222
(retweet lag)=0.4
(cold mango)=0.2857142857142857
(mango syrup)=0.0057306590257879654
(man guess)=0.005084745762711864
(locoforsur flavor)=0.6666666666666666
(song th)=0.16666666666666666
(hey guess)=0.0625
(afford regular)=0.6666666666666666
(bch imag)=1.0
(better eat)=0.1
(d guess)=0.00779896013864818
(just pour)=0.0125
(tio ian)=0.06666666666666667
(asha pic)=0.18181818181818182
(ajaydevgn bhaijaan)=0.6666666666666666
(audio nyra)=0.6666666666666666
(gordonbruceart rag)=1.0
(today isnt)=0.047619047619047616
(lve u)=0.2857142857142857
(levi love)=0.011049723756906077
(realli miss)=0.11764705882352941
(pendulousthreadsuk deliv)=0.6666666666666666
(tree hous)=0.13333333333333333
(guess hair)=0.0033277870216306157
(guess whos)=0.009174311926605505
(finger im)=0.6666666666666666
(nihilistarbi wake)=1.0
(make dad)=0.07142857142857142
(match watch)=0.2222222222222222
(piña colada)=0.6666666666666666
(act like)=0.04878048780487805
(tomorrotoday im)=0.6666666666666666
(rip berri)=0.08695652173913043
(hey robyn)=0.03389830508474576
(suprem help)=0.6666666666666666
(guess whoi)=0.004576659038901602
(just your)=0.019230769230769232
(heffrondr wake)=1.0
(what roof)=0.07142857142857142
(goin fuck)=0.15384615384615385
(load rag)=0.25
(talk loss)=0.08695652173913043
(boo hoo)=0.0625
(wine mango)=0.3333333333333333
(guess set)=0.002642007926023778
(jmagazin fifthharmoni)=1.0
(darth threw)=1.0
(smile levi)=0.2
(rule desert)=0.6666666666666666
(cut tri)=0.04878048780487805
(sweet potato)=0.2222222222222222
(guess winner)=0.004319654427645789
(health weightloss)=0.6666666666666666
(cheesecak cheesecak)=0.14285714285714285
(guess see)=0.002789400278940028
(open randstad)=0.11764705882352941
(smile there)=0.2857142857142857
(tgmheidi haha)=0.6666666666666666
(thought miss)=0.09523809523809523
(appli work)=0.18181818181818182
(check like)=0.18181818181818182
(good adam)=0.022727272727272728
(cultur good)=0.5
(harmoni love)=0.2857142857142857
(ootd levi)=0.6666666666666666
(happi theyr)=0.2857142857142857
(mom camilacabello)=0.13333333333333333
(gigihadid rting)=0.2857142857142857
(naomikyl fam)=1.0
(useless tweet)=0.5
(bodi massag)=0.15384615384615385
(byecastro guess)=1.0
(happi join)=0.10526315789473684
(coolerdenafan nigga)=1.0
(elig info)=0.6666666666666666
(n bone)=4.3159257660768235E-4
(today went)=0.06666666666666667
(levi newlook)=0.011627906976744186
(itim levi)=0.6666666666666666
(guess product)=0.004008016032064128
(guess afford)=0.003189792663476874
(colour film)=0.6666666666666666
(like mango)=0.04878048780487805
(right dont)=0.07407407407407407
(la cage)=0.005376344086021506
(el veryoldbook)=0.007326007326007326
(dont like)=0.07692307692307693
(bcbgener guess)=0.6666666666666666
(question flavour)=0.18181818181818182
(la guess)=0.013927576601671309
(mango curri)=0.006269592476489028
(tonyhawk airwalkonlin)=0.5
(mango come)=0.007017543859649123
(estaros guess)=1.0
(gotta cut)=0.17647058823529413
(satoru iwata)=0.6666666666666666
(habanero mix)=0.2857142857142857
(tri happi)=0.03636363636363636
(didnt pass)=0.11764705882352941
(emul okay)=0.6666666666666666
(sad like)=0.08333333333333333
(wait day)=0.11764705882352941
(juic dunman)=0.1111111111111111
(best moopz)=0.1
(aux ressourc)=0.25
(whr r)=0.6666666666666666
(let guess)=0.05128205128205128
(crazi guess)=0.4
(way entertain)=0.04878048780487805
(free food)=0.14285714285714285
(hope wishingaccord)=0.07692307692307693
(thought varieti)=0.09090909090909091
(im wait)=0.012578616352201259
(worn rag)=0.6666666666666666
(eat indian)=0.02857142857142857
(today barca)=0.05128205128205128
(almond bite)=0.3333333333333333
(shutterbug delici)=1.0
(levi stadium)=0.07142857142857142
(spinach inat)=0.3333333333333333
(bone lovesvoic)=0.05263157894736842
(th annual)=0.002254791431792559
(director debut)=0.6666666666666666
(guess imma)=0.0030911901081916537
(wors pain)=0.2222222222222222
(present mango)=0.2857142857142857
(awesom ct)=0.5
(guess inspir)=0.0026041666666666665
(mother teach)=0.5
(gibb bro)=0.4
(wed mango)=0.2857142857142857
(michaelso god)=0.6666666666666666
(excit opportun)=0.4
(mango berri)=0.004750593824228029
(here present)=0.1
(disneyland guess)=0.6666666666666666
(theyr just)=0.2857142857142857
(lot guess)=0.15384615384615385
(s quit)=3.524229074889868E-4
(musician bluetooth)=0.6666666666666666
(kxllum guess)=1.0
(hot tea)=0.03773584905660377
(buy happi)=0.13333333333333333
(leg felt)=0.2222222222222222
(song concert)=0.125
(talk smoothi)=0.13333333333333333
(onedrectinfan loui)=0.6666666666666666
(goodnight dm)=0.2857142857142857
(pondan just)=0.5
(unnati boost)=0.6666666666666666
(tankgirlyo guess)=1.0
(taylor probabl)=0.2222222222222222
(hhahahaha speechless)=0.6666666666666666
(gshock docker)=0.6666666666666666
(spinach chia)=0.2
(defend guilti)=0.5
(peopl need)=0.06896551724137931
(im guess)=0.011940298507462687
(nationaltequiladay forev)=0.6666666666666666
(jeremi meg)=0.6666666666666666
(republ ramirez)=0.6666666666666666
(shout old)=0.4
(bone suit)=0.05714285714285714
(question just)=0.2
(oi oi)=0.024096385542168676
(event wait)=0.16666666666666666
(huskrub teeth)=0.6666666666666666
(guess yall)=0.0033277870216306157
(export punjab)=0.18181818181818182
(fall boy)=0.4
(im realli)=0.007905138339920948
(easi today)=0.2857142857142857
(mango almond)=0.00392156862745098
(sassylibrarian lucythespenc)=1.0
(ube pastilla)=0.2857142857142857
(didnt work)=0.13333333333333333
(tomato pak)=0.6666666666666666
(feel way)=0.10526315789473684
(dip toe)=0.6666666666666666
(guess complic)=0.004366812227074236
(daft cunt)=0.6666666666666666
(ladi gentlemen)=0.25
(cup tea)=0.5
(anyway fun)=0.6666666666666666
(pant casual)=0.4
(head town)=0.13333333333333333
(pm guess)=0.2222222222222222
(factor audit)=0.6666666666666666
(rotobec look)=1.0
(make look)=0.041666666666666664
(got motiv)=0.05128205128205128
(laterreur colorist)=0.6666666666666666
(plus sleev)=0.3333333333333333
(meet cat)=0.1
(interact learn)=0.5
(deliciouslyraw sweet)=1.0
(shit yall)=0.11764705882352941
(editori feat)=0.6666666666666666
(export year)=0.15384615384615385
(youtub video)=0.5
(tonight guess)=0.09090909090909091
(guess longer)=0.002398081534772182
(bed what)=0.2222222222222222
(guess clevelandcav)=0.0024906600249066002
(tom vumath)=0.06896551724137931
(just doesnt)=0.014492753623188406
(quantum limité)=0.6666666666666666
(lukesosloljok say)=0.5
(mango mojito)=0.006172839506172839
(account love)=0.3333333333333333
(tomorrowland year)=1.0
(cabotrd switch)=1.0
(probabl idk)=0.25
(good pekhawar)=0.03278688524590164
(scicalcul bestfriend)=0.6666666666666666
(guess aint)=0.0033500837520938024
(laurengiraldo dont)=1.0
(escali normand)=0.6666666666666666
(havent amaz)=0.2857142857142857
(whos nxt)=0.2857142857142857
(flashback merica)=0.4
(use inact)=0.08333333333333333
(watch santa)=0.125
(comptesgest projet)=0.6666666666666666
(wea yu)=0.1111111111111111
(long need)=0.18181818181818182
(yep levi)=0.6666666666666666
(louissimslife anchor)=0.6666666666666666
(liter rocket)=0.13333333333333333
(jo got)=0.013986013986013986
(let tastebud)=0.03571428571428571
(minecraft fan)=0.6666666666666666
(billion spent)=0.6666666666666666
(tripl sec)=0.5
(jlevythfc jayrobinsthfc)=1.0
(tl lol)=0.037037037037037035
(littl sad)=0.14285714285714285
(song secret)=0.13333333333333333
(cucumb mango)=0.4
(day ford)=0.018018018018018018
(•mi tummi)=0.6666666666666666
(chanc win)=0.2857142857142857
(toooooooo cold)=1.0
(cyamango mango)=1.0
(ragand bone)=0.6666666666666666
(ekaba ke)=0.6666666666666666
(avail began)=0.2857142857142857
(make desion)=0.047619047619047616
(wish big)=0.10526315789473684
(true ok)=0.3333333333333333
(thisi just)=0.6666666666666666
(walli semi)=0.6666666666666666
(black tea)=0.2631578947368421
(oh nighti)=0.034482758620689655
(naomikyl dream)=0.6666666666666666
(olé wait)=0.6666666666666666
(ibristolpeopl plsebig)=0.6666666666666666
(biancsta fortheloveof)=0.6666666666666666
(rationalketan baibat)=0.6666666666666666
(make sunni)=0.08
(colin bought)=0.5
(ive get)=0.04081632653061224
(truck stuff)=0.4
(like black)=0.01904761904761905
(sitg levi)=0.4
(guess mexican)=0.0033222591362126247
(time natur)=0.04081632653061224
(hd w)=0.14285714285714285
(mango eo)=0.011450381679389313
(shannonntil feel)=0.6666666666666666
(lovesvoic miracl)=0.6666666666666666
(bone bring)=0.03125
(guess beachballkc)=0.002570694087403599
(ooftd guess)=0.6666666666666666
(mango cashew)=0.005952380952380952
(rge produc)=0.08
(fresh mango)=0.38095238095238093
(tell celf)=0.15384615384615385
(went mcdonald)=0.2222222222222222
(rangerruski akanai)=0.6666666666666666
(way babe)=0.05
(townpark levisskateboard)=0.6666666666666666
(mix audit)=0.5
(ask u)=0.07692307692307693
(sorri lana)=0.18181818181818182
(zone need)=0.4
(kslat let)=1.0
(ruin rest)=0.5
(feel odd)=0.11764705882352941
(bull la)=0.5
(birthday pe)=0.14285714285714285
(mango guacamol)=0.00425531914893617
(grimstoyshow guess)=1.0
(compat devic)=0.6666666666666666
(tenor ukulel)=0.6666666666666666
(levi easier)=0.047619047619047616
(tho bahut)=0.038461538461538464
(accid guess)=0.6666666666666666
(relax travel)=0.6
(night thank)=0.034482758620689655
(bad file)=0.14285714285714285
(saguenay levi)=0.6666666666666666
(la balanc)=0.005249343832020997
(profound great)=0.6666666666666666
(johannahdarl demoorsophi)=1.0
(contribut nonprofit)=0.6
(weird talent)=0.5
(jameswest hmm)=1.0
(gulabjamunhigh guess)=1.0
(just starv)=0.012048192771084338
(pm modi)=0.25
(second ebay)=0.5
(mango film)=0.007017543859649123
(randstad levi)=0.3333333333333333
(eat weight)=0.02531645569620253
(mango cosplay)=0.00554016620498615
(workday levi)=1.0
(just ask)=0.011299435028248588
(that bad)=0.03278688524590164
(autobottesla hm)=1.0
(slay d)=0.5
(win prize)=0.04878048780487805
(uniform attack)=0.6666666666666666
(cmsci ah)=0.6666666666666666
(hire intervenantintervenant)=0.5
(ahmad tea)=1.0
(diy diyd)=0.18181818181818182
(mango beer)=0.007246376811594203
(wrap mango)=0.3333333333333333
(dad proud)=0.25
(ladi spread)=0.5
(cheer pakistan)=0.6666666666666666
(superhero smoothi)=0.6666666666666666
(basti talk)=0.5
(peach salsa)=0.13333333333333333
(perabo screen)=0.6666666666666666
(guess dress)=0.0031545741324921135
(chees steak)=0.07407407407407407
(away nwo)=0.16666666666666666
(jean rob)=0.15384615384615385
(meishapt just)=1.0
(annual car)=0.6666666666666666
(avoid ban)=0.75
(beer america)=0.2857142857142857
(tea sweet)=0.031746031746031744
(guess wanna)=0.0028011204481792717
(guess fair)=0.0025
(head hurt)=0.125
(want cheeseburg)=0.025974025974025976
(research shitti)=0.6666666666666666
(machin werent)=0.6666666666666666
(bahut deke)=0.6666666666666666
(commi aux)=0.15384615384615385
(sleev blueberri)=0.4
(sport hire)=0.125
(ba report)=0.007434944237918215
(tri tho)=0.023255813953488372
(mango aadmi)=0.005319148936170213
(there taker)=0.125
(cover voucher)=0.2222222222222222
(mango pineappl)=0.00974025974025974
(plz reach)=0.6666666666666666
(get old)=0.04
(tea love)=0.031746031746031744
(attack polic)=0.25
(limité manutentionnair)=0.6666666666666666
(anchor goe)=0.5
(feet hurt)=0.6666666666666666
(guess dont)=0.0042643923240938165
(open guess)=0.125
(guess what)=0.0058997050147492625
(nwo hulkhogan)=0.5
(lucythespenc love)=0.6666666666666666
(levi servic)=0.06451612903225806
(tune leav)=0.6666666666666666
(home tonight)=0.21428571428571427
(subtweet miss)=0.6666666666666666
(actual anger)=0.16666666666666666
(success guess)=0.6666666666666666
(stay finish)=0.18181818181818182
(mango pleco)=0.00468384074941452
(mini egg)=0.2222222222222222
(im vair)=0.007142857142857143
(whos vacat)=0.11764705882352941
(guess ketplacesc)=0.0024937655860349127
(dont check)=0.031746031746031744
(stop rip)=0.16666666666666666
(pbjs mango)=0.6666666666666666
(enjoy new)=0.2222222222222222
(evil att)=0.3333333333333333
(brand new)=0.8
(found stringsonlin)=0.2857142857142857
(big gonna)=0.09523809523809523
(dentretien teronet)=0.6666666666666666
(camerondalla florenc)=0.09090909090909091
(duc levi)=0.2222222222222222
(miracl garden)=0.6666666666666666
(aw boo)=0.02666666666666667
(good just)=0.05263157894736842
(hd ffcomp)=0.1
(bike golf)=0.5
(fun thing)=0.05128205128205128
(casslovesdrak guess)=1.0
(jayrobinsthfc hainaultelit)=1.0
(join manutd)=0.125
(issu keep)=0.5
(door mango)=1.0
(cmw express)=1.0
(yemeni children)=0.6666666666666666
(raspberri mango)=0.6666666666666666
(chauffeur class)=0.6666666666666666
(thejenwilkinson guess)=0.5
(list eventpoor)=0.08333333333333333
(cocaingel mango)=1.0
(interest alexjdsmith)=0.4
(realli dont)=0.08333333333333333
(miss place)=0.06896551724137931
(guess bluray)=0.0025940337224383916
(replac cooki)=0.5
(annewheaton guess)=1.0
(drove levi)=0.6666666666666666
(ide lemon)=0.043478260869565216
(karilakefox im)=1.0
(imumairk maleehaokh)=0.6666666666666666
(what goto)=0.05263157894736842
(member come)=0.18181818181818182
(qualm need)=1.0
(rohitjswl ajaydevgn)=0.6666666666666666
(new alulu)=0.05405405405405406
(glass mango)=0.3333333333333333
(earli tell)=0.6666666666666666
(katieelandrum actual)=1.0
(mrsshim hajojoxx)=1.0
(en servic)=0.004098360655737705
(tweet pin)=0.08695652173913043
(fact mango)=0.2
(hurt answer)=0.125
(pcmeal mango)=0.6666666666666666
(make time)=0.04081632653061224
(stadium soo)=0.18181818181818182
(mango frog)=0.0036968576709796672
(like culprit)=0.02040816326530612
(du nuffin)=0.041666666666666664
(that just)=0.01818181818181818
(old just)=0.058823529411764705
(geargutz il)=1.0
(guess realli)=0.0039447731755424065
(tastebud escap)=0.6666666666666666
(hai pehl)=0.11764705882352941
(wait til)=0.16666666666666666
(lemonad starbuck)=0.11538461538461539
(remind won)=0.6666666666666666
(hope brighten)=0.10526315789473684
(mango speak)=0.008
(need start)=0.05263157894736842
(yo met)=0.015151515151515152
(wasnt bad)=0.2222222222222222
(cream sauc)=0.13333333333333333
(met mmasouth)=0.08695652173913043
(fave mango)=0.6666666666666666
(grillardin appli)=0.6666666666666666
(exot hawaiian)=1.0
(girlfriend imposs)=0.6666666666666666
(cheesecak love)=0.25
(ur honour)=0.006920415224913495
(just wrote)=0.0125
(make bust)=0.0392156862745098
(shit mango)=0.15384615384615385
(finalist chanc)=0.6666666666666666
(raffl thank)=0.6666666666666666
(nice woke)=0.125
(bodi chain)=0.6666666666666666
(math branch)=0.2222222222222222
(hire technicienn)=0.25
(iamsaurabharora guess)=0.6666666666666666
(mango orang)=0.007142857142857143
(d onlinenightket)=8.100445524503848E-4
(oxygen oxygen)=0.4
(better billion)=0.07142857142857142
(thought livetweet)=0.11764705882352941
(fridaaasen guess)=0.6666666666666666
(yoghurt swiss)=0.6666666666666666
(petii mango)=0.6666666666666666
(kong ragnbon)=0.6666666666666666
(levi bold)=0.0106951871657754
(bloom here)=0.6666666666666666
(doesnt realli)=0.18181818181818182
(daysofhappi day)=1.0
(mango raspberri)=0.003883495145631068
(think sexiest)=0.08695652173913043
(mebescissorluv sterolineprid)=0.6666666666666666
(vintagedenim levi)=0.6666666666666666
(vikasraina rationalketan)=1.0
(mean white)=0.125
(that good)=0.01904761904761905
(area plz)=0.3333333333333333
(public hope)=0.5
(couch watch)=0.6666666666666666
(gonna reinstal)=0.07407407407407407
(time week)=0.04
(financi support)=0.6666666666666666
(superb mango)=0.4
(realli reason)=0.15384615384615385
(mango pm)=0.004524886877828055
(afromus thami)=1.0
(right summerwo)=0.10526315789473684
(awaken add)=0.6666666666666666
(sound real)=0.2857142857142857
(appl grow)=0.02197802197802198
(curri beef)=0.18181818181818182
(delici good)=0.14285714285714285
(joindotaleagu thought)=0.6666666666666666
(just need)=0.016260162601626018
(ford gis)=0.4
(th n)=0.0032397408207343412
(lot cute)=0.1
(gossip girl)=0.6666666666666666
(mango tell)=0.005154639175257732
(land job)=0.13333333333333333
(work dunkin)=0.05
(taylor busi)=0.25
(dinner dgodsm)=0.4
(work rotobec)=0.030303030303030304
(deep red)=0.6666666666666666
(growl im)=0.6666666666666666
(spicier better)=0.6666666666666666
(alanbush guess)=1.0
(game exact)=0.10526315789473684
(stavver guess)=0.6666666666666666
(guess wont)=0.004424778761061947
(man nando)=0.00408997955010225
(simplyshyla guess)=1.0
(arcaispanda love)=1.0
(bye coup)=0.5
(lifechang howto)=0.6666666666666666
(mango frost)=0.0034071550255536627
(omek guess)=1.0
(mmm hope)=0.3333333333333333
(round messag)=0.15384615384615385
(gotta order)=0.13333333333333333
(legaley look)=1.0
(night radio)=0.03278688524590164
(chicken nugget)=0.18181818181818182
(haha love)=0.11764705882352941
(moon toughalso)=0.5
(secret lesbian)=0.3333333333333333
(natur wood)=0.25
(yum burger)=0.15384615384615385
(yogurt pop)=0.4
(sleep tonight)=0.10344827586206896
(mango herbalif)=0.003115264797507788
(edit guess)=0.25
(eu lare)=0.05405405405405406
(swordfish mango)=0.6666666666666666
(thami allround)=1.0
(guess weari)=0.0027137042062415195
(mango profound)=0.004228329809725159
(lobster burger)=0.3333333333333333
(forev jean)=0.043478260869565216
(great pictur)=0.08333333333333333
(someth wrong)=0.5
(vote let)=0.4
(onedrectinfan ok)=1.0
(mango tripl)=0.00408997955010225
(kind guess)=0.13333333333333333
(game chocol)=0.1111111111111111
(kitchen mango)=0.2857142857142857
(daili necess)=1.0
(sauc wingstop)=0.16666666666666666
(fruit world)=0.07407407407407407
(canapé tonight)=0.6666666666666666
(soo guess)=0.07142857142857142
(baibat garyin)=0.6666666666666666
(happen cup)=0.125
(cold guess)=0.3333333333333333
(just drove)=0.013605442176870748
(colordesign class)=0.6666666666666666
(poster allow)=0.3333333333333333
(valkyri levi)=0.6666666666666666
(caissier appli)=0.6666666666666666
(sleep today)=0.10526315789473684
(blankei better)=1.0
(typo shit)=0.6666666666666666
(guess tri)=0.003215434083601286
(guess work)=0.003579952267303103
(order levi)=0.6666666666666666
(mango favorit)=0.006688963210702341
(fun forc)=0.06896551724137931
(neverforgetpluto nasa)=0.6666666666666666
(ham pineappl)=0.08695652173913043
(guess stay)=0.0028694404591104736
(cocktail relax)=0.2
(sound right)=0.2222222222222222
(thebay hudsonsbay)=1.0
(fresh ginger)=0.125
(slow roster)=0.5
(close ill)=0.4
(charact originalfunko)=0.6666666666666666
(cannabiscommun mango)=0.4
(khawajaslikem movi)=1.0
(judici commiss)=0.6666666666666666
(s anna)=3.7929072634174094E-4
(year guess)=0.05263157894736842
(salsa recip)=0.18181818181818182
(salad happi)=0.2222222222222222
(ohmyveggi cook)=1.0
(estat microlot)=0.6666666666666666
(ive wast)=0.038461538461538464
(need buy)=0.038461538461538464
(crayon honest)=0.6666666666666666
(gl find)=0.058823529411764705
(gon loosen)=0.04878048780487805
(read classic)=0.06451612903225806
(packag got)=0.6666666666666666
(inni like)=0.5
(sooo wors)=0.3333333333333333
(mountaincreameri icecream)=0.6666666666666666
(book read)=0.125
(cudlitz hes)=0.5
(boot levi)=0.6666666666666666
(pepper spici)=0.2857142857142857
(otyoffici guess)=1.0
(jazzybumble haha)=1.0
(hi friend)=0.005305039787798408
(cool wed)=0.1111111111111111
(just confirm)=0.011494252873563218
(josh thank)=0.5
(guess continu)=0.0024813895781637717
(dm time)=0.125
(manutentionnair levi)=0.6666666666666666
(cassiepir hahaha)=1.0
(pictur north)=0.4
(tshirt dccon)=0.5
(lol give)=0.0625
(serv bout)=0.08333333333333333
(websit livestream)=0.6666666666666666
(guy thank)=0.09523809523809523
(good listen)=0.02702702702702703
(tofu mango)=0.3333333333333333
(even hibolton)=0.07692307692307693
(actual miss)=0.1111111111111111
(sin eat)=0.07407407407407407
(inex ladi)=1.0
(polic station)=0.6666666666666666
(hire contremaîtr)=0.08
(pr overthetop)=0.011976047904191617
(experi guess)=0.5
(bc know)=0.2
(whelppow guess)=1.0
(viewsfrmth dude)=1.0
(thing sip)=0.05405405405405406
(indian cuisin)=0.14285714285714285
(style ooftd)=0.6666666666666666
(nokia n)=0.6
(haha look)=0.11538461538461539
(kiss smiley)=0.5
(touch chilli)=0.6666666666666666
(folk mean)=1.0
(job coordonnateurcoordonnatric)=0.03389830508474576
(wish u)=0.058823529411764705
(earli one)=0.18181818181818182
(oh poo)=0.045454545454545456
(turn mango)=0.15384615384615385
(networkoper batata)=0.6666666666666666
(mango beard)=0.005361930294906166
(mango locochamoymango)=0.0037735849056603774
(noticedh notic)=0.6666666666666666
(net slow)=0.15384615384615385
(ill eye)=0.016
(sister love)=0.2857142857142857
(qa houstonproject)=1.0
(like hot)=0.030303030303030304
(tho guess)=0.03571428571428571
(insanityof patrioticm)=1.0
(pretti funni)=0.16666666666666666
(locochamoymango bomb)=0.6666666666666666
(listen woo)=0.3333333333333333
(guess trade)=0.003125
